Nazwa,Telefon,Adres,"Godziny otwarcia","Strona internetowa","Opinia 1","Opinia 2","Opinia 3","Opinia 4","Opinia 5","Opinia 6",Typ,"Wysokość cen",Latitude,Longitude
Lilou,"573 786 510","Ogarna 126/127, 80-823 Gdańsk, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: 10:00–17:00, niedziela: Zamknięte",https://lilou.pl/pl/butiki/6?utm_source=googlemaps&utm_medium=organic&utm_campaign=wizytowki,"Bardzo miła obsługa! Pomocne Panie ekspedientki. Doradziły jaki prezent wybrać dla świadkowej i to był strzał w 10. Przepiękny naszyjnik! Bardzo polecam!","Bardzo profesjonalna obsługa. Panie bardzo uśmiechnięte i pomocne. Zdecydowanie polecam.","Bardzo miła i kompleksowa obsługa,  Panie bez problemu wykonały dodatkową usługę.  Polecam","Panie bardzo pomocne, możliwość zrobienia graweru, biżuteria starannie zapakowana. Gorąco polecam 🥰","Miejsce, jak i produkty śliczne! Zamówienie wykonane w ciągu kilku minut (nie miałam żadnego powodu żeby przyczepić się do grawerunku ;) ), obsługa bardzo miła, pomocna i uprzejma! Polecam!",,"jewelry_store, store, point_of_interest, establishment",,54.3488062,18.6487287
"Jubiler Gdańsk","58 301 11 08","Kołodziejska 7/9B, 80-836 Gdańsk, Polska","poniedziałek: 10:00–18:00, wtorek: 10:00–18:00, środa: 10:00–18:00, czwartek: 10:00–18:00, piątek: 10:00–18:00, sobota: Zamknięte, niedziela: Zamknięte",http://www.jubilermj.pl/,"Polecam z całego serca! Fachowa i miła obsługa. Poszedłem z drobnastką - skrócenie rzemyka w bransolecie Pandora. A zostałem potraktowany bardzo profesjonalnie i Pan wykazał się niezwykłą cierpliwością. Cena za usługę też bardzo atrakcyjna. Dziękuję i pozdrawiam!","Pan naprawił okulary, które były """"nie do naprawienia"""" według optykow. dziękuję bardzo! Polecam!","Pełen profesjonalizm. Przemiła i szybka obsluga. Rzecz niemożliwa załatwiona od ręki. Mistrzostwo w najlepszym wydaniu. Lubimy i polecamy usługi Pana Jacka. Agnieszka i Adam","Bardzo polecam, pełen profesjonalizm! Obsługa też super: pomocna i miła!!",,,"jewelry_store, finance, store, point_of_interest, establishment",,54.3509386,18.6502402
"A2 Jewellery","693 911 494","Mariacka 40/41, 80-833 Gdańsk, Polska","poniedziałek: Zamknięte, wtorek: 11:00–17:30, środa: 11:00–17:30, czwartek: 11:00–17:30, piątek: 11:00–17:30, sobota: 11:00–17:30, niedziela: 11:00–17:00",http://a2jewellery.com/,"Polecam, przepiękna biżuteria, bursztyny i nie tylko a przede wszystkim rewelacyjna obsługa. Weszliśmy do sklepu trochę przypadkowo, Pani ekspedientka dopiero otwierała. Nie mieliśmy zamiaru zakupu niczego, od progu wiadomo było, że chcemy tylko pooglądać sobie bursztyny. Nie wyglądaliśmy też na potencjalnych nabywców drogiej biżuterii. Nie mniej jednak Pani pokazała nam dwa sklepy, opowiadała o bursztynach, biżuterii itd z taką pasją i serdecznością do nas, że bardzo nas to urzekło. Finał był taki że wyszliśmy z pierścionkiem zakupionym tam bez żadnej presji na jakiekolwiek zakupy. Polecamy i pozdrawiamy. Pierścionek przepiękny!!!","Super miejsce polecam piękne działa sztuki z bursztynu","Obsługa jak zawsze na najwyższym poziomie. Zachwycające projekty biżuterii. Wrócimy tu jeszcze kolejny raz. Pozdrawiamy i polecamy.","Najlepsze w Polsce muzeum bursztynu. Ciekawe okazy, które warto zobaczyć",,,"jewelry_store, point_of_interest, store, establishment",,54.3497258,18.6553129
"GOLD-MONEY.PL SP. Z O.O.","739 222 262","Jana Heweliusza 11/819, 80-890 Gdańsk, Polska","poniedziałek: Czynne całą dobę, wtorek: Czynne całą dobę, środa: Czynne całą dobę, czwartek: Czynne całą dobę, piątek: Czynne całą dobę, sobota: Czynne całą dobę, niedziela: Czynne całą dobę",https://www.gold-money.pl/,"Mażna kupić piękną biżuterię i nie tylko.",,,,,,"jewelry_store, store, point_of_interest, establishment",,54.3564161,18.6501469
"OSTROWSKI DESIGN","692 460 025","Do Studzienki 3/1, 80-227 Gdańsk, Polska","poniedziałek: 09:00–16:00, wtorek: 09:00–18:00, środa: 09:00–16:00, czwartek: 09:00–16:00, piątek: 09:00–16:00, sobota: Zamknięte, niedziela: Zamknięte",http://www.ostrowskidesign.pl/,"Polecam z całego serca ! Wykonywałam u Pana Ostrowskiego obrączkę z diamentami i wyszła perfekcyjnie. Jubiler bardzo indywidualnie podchodzi do klienta i wykonał ją na podstawie wzornika, ale zmodyfikował ją w oparciu o moje wskazówki, dzięki czemu wyszła dokładnie tak jak chciałam.","Miejsce dla osób które chcą mieć wymarzone obrączki i nie tylko. Pracowania podjęła się ratowania pierścionka zaręczynowego, wywiązali się w sposób perfekcyjny👌 Obrączki zrobione bardzo szybko z największą starannością  :) ❤️  Bardzo bardzo dziękujemy i w 100% polecamy 🔝","Polecam serdecznie to miejsce, obrączki wykonane z niezywklą starannością, indywidualnie dopasowywane do klienta, a do tego dożywotnia gwarancja na wykonane przez jubilerów produkty. Obsługa szybka i sprawna, zmiana rozmiaru obrączki praktycznie tego samego dnia","Niesamowita przeróbka starej biżuteri na nowy przepiękny pierścionek i kolczyki dla córy na 18te urodziny!!! Szacun, w pełni polecam!!!","Decydując się na zaręczyny wiedziałem, iż moja przyszła narzeczona zasługuje na coś wyjątkowego. Pierścionek którego nie znajdzie się w tak zwanej zwykłej sieciówce. Długo szukałem zanim trafiłem do pracowni Pana Jacka. Mając doświadczenie z przeszłości przy sprzedaży diamentów dla firmy z Beneluxu dobrze wiedziałem czego oczekuje, potrzebowałem tylko kogoś kto mnie zrozumie i sprosta pedantycznemu podejściu do tematu pierścionka. Pan Jacek swoim profesjonalizmem wywarł na mnie ogromne wrażenie i nie zastanawiając się zbyt długo zdecydowałem się na współpracę. Ustaliliśmy wstępnie wielkość kamieni, ilość oraz ich parametry jak również wygląd pierścionka oraz wymogi które musi spełniać jak np: nie przeszkadzanie w jeździe konno itp. itd. Trochę tego było ... Umówiliśmy się również na wykonanie pierścionka próbnego abym mógł zobaczyć czy mi się spodoba oraz wprowadzić ewentualne zmiany, za co jestem Panu Jackowi niezmiernie wdzięczny. Próbny pierścionek wyszedł bardzo ładnie lecz czegoś mi w nim brakowało, zdecydowaliśmy się dołożyć dwa dodatkowe kamienie. Kiedy pierwszy raz ujrzałem gotowy pierścionek nie wiedziałem co powiedzieć - był IDEALNY ! Właśnie taki jak go sobie wyobrażałem, prawdziwe dzieło sztuki ! Pierścionek na palcu wygląda cudownie, moja narzeczona jest nim zachwycona, pasuje idealnie, nie przeszkadza w jeździe konno oraz innych codziennych czynnościach. Jesteśmy bardzo zadowoleni z efektu końcowego i na pewno niebawem wrócimy do pracowni Ostrowski Design aby wspólnie wybrać obrączki ślubne. Panu Jackowi bardzo dziękujemy za cały trud pracy oraz serce zaklęte w tym małym kamieniu. Z całego serca polecamy pracownie Ostrowski Design Pana Jacka wszystkim osobom które szukają czegoś wyjątkowego.",,"jewelry_store, point_of_interest, store, establishment",,54.3753562,18.6134694
YES,"691 711 482","Targ Sienny 7, 80-806 Gdańsk, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",https://yes.pl/,"Bardzo sympatyczna obsługa . Pani Kasia profesjonalistka w swojej dziedzinie , ze stoickim spokojem doradza przy wyborze biżuterii .Miła atmosfera sprawia, że  po raz kolejny chce się wrócić i kupić biżuterię  w tym sklepie . Polecam w 100% 🙂","Bardzo miła obsługa, cierpliwie doradzono mi wybór kolczyków. Przyszlam po jedne, kupilam drugie, za namową sprzedawczyni. I jestem zadowolona","Odbierałam swoje zamówienie internetowe. Pierwszy raz (ze wszystkich salonów) zaproponowano mi zmierzenie rzeczy już w salonie, co bardzo pozytywnie mnie zaskoczyło. Bardzo uprzejma obsługa. Bardzo polecam",,,,"jewelry_store, store, point_of_interest, establishment",,54.3493061,18.6433071
YES,"501 481 671","Rajska 10, 80-850 Gdańsk, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://yes.pl/,"Sklep z biżuterią, wybór średni, jednak 5 gwiazdek za pełen profesjonalizm przy podejściu do klienta. Uczciwość to jest to co najbardziej cenię u sprzedawców.","Do tego salonu Yes wracamy bardzo chętnie, mimo iż inne mamy bliż j . Miło, przyjemnie, fachowo. Bardzo Polecamy!","Kupuję tutaj od lat i nie zamierzam tego zmieniać. Profesjonalizm w obsłudze klienta to pierwsze, z czym kojarzy mi się ten salon i jego zespół. Sam pracuję w sprzedaży już ponad 20lat, więc jestem wyczulony na kiepską obsługę. W tym salonie nie tylko zrealizują Wasze oczekiwania, ale bardzo często umiejętnie i kulturalnie Wam je uświadomią, bo są fachowcami od biżuterii i jej doboru. Brawo Pani Aniu, kolejny raz dziękuję i do zobaczenia. Pełna rekomendacja.","Zamawialiśmy z narzeczoną obrączki w salonie Yes w Madisonie. Obsługa jest fantastyczna, właścicielka pomogła nam dokonać wyboru, zamówiliśmy obrączki tydzień później. Panie ekspedientki znają się na rzeczy, nie budują dystansu, ale też nie są nachalne, wspierają dokonywanie świadomych decyzji przez klienta. Obie wizyty przebiegły w bardzo miłej, rodzinnej atmosferze. Polecamy !!!!","Świetna obsługa",,"jewelry_store, point_of_interest, store, establishment",,54.3564868,18.6488738
"Odlewnictwo biżuterii","58 344 01 96","Bolesława Chrobrego 7, 80-423 Gdańsk, Polska",,,,,,,,,"jewelry_store, point_of_interest, store, establishment",,54.3841276,18.616223
Ambergifts.shop,"509 058 804","Juraty 24, 80-299 Gdańsk, Polska","poniedziałek: 09:00–17:00, wtorek: 09:00–17:00, środa: 09:00–17:00, czwartek: 09:00–17:00, piątek: 09:00–17:00, sobota: Zamknięte, niedziela: Zamknięte",https://www.ambergifts.shop/,"Polecam z całego serca zadowolenia mojej mamy bezcenne 💕","Ekspresowa wysyłka :)","Zamówiłem piękny świecznik na urodziny mojej babci i byłem nie tylko oszołomiony pięknem i jakością produktu, ale szczególnie zdumiony doskonałą obsługą klienta. Na urodziny dodali piękną, ręcznie napisaną kartkę i nawet kilka dodatkowych kawałków bursztynu. Zwłaszcza w czasach Amazona ten poziom spersonalizowanej obsługi wydaje się niespotykany, to zdecydowanie nie ostatni raz, kiedy tu zamawiam","Bardzo przyjazny i gościnny. Bardzo szybka dostawa. Świetne, gorąco polecam.",,,"jewelry_store, point_of_interest, store, establishment",,54.436173,18.468528
Verona,"697 240 744","aleja Rzeczypospolitej 33, 80-463 Gdańsk, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",https://verona.pl/,"Bardzo polecam! Świetna profesjonalna obsługa❤️ przepiękne biżuterię oraz polecam panią Paulinę, która  potrafi doradzać klientom","Pierścionki przepiękne tak jak reszta biżuterii a obsługa na najwyższym poziomie. Miejsce godne polecenia.","Polecam!!! Obsługa na najwyższym poziomie, Pani Aleksandra potrafi świetnie doradzić, ma niesamowitą wiedzę i wyczucie stylu, pełen profesjonalizm. Uwielbiam tam wracać! Z czystym sercem polecam ten salon!","Jestem bardzo zadowolona z zakupów w tym salonie. Kupiłam tam piękny wisiorek ze złota, który pasuje do każdej stylizacji. Obsługa była bardzo miła i profesjonalna, a ceny przystępne. Polecam wszystkim, którzy szukają wysokiej jakości biżuterii i chcą się poczuć wyjątkowo. Verona to najlepszy wybór!","Polecam. Obsługa na najwyższym poziomie. Bardzo duży wybór biżuterii.",,"jewelry_store, store, point_of_interest, establishment",,54.389678,18.609837
"Gdańsk Wrzeszcz - Lombard & Sklep Jubilerski GOLD MONEY","535 416 414","Romana Dmowskiego 7B, 80-243 Gdańsk, Polska","poniedziałek: 08:00–21:00, wtorek: 08:00–21:00, środa: 08:00–21:00, czwartek: 08:00–21:00, piątek: 08:00–21:00, sobota: 08:00–21:00, niedziela: Zamknięte",https://www.lombardgm.pl/,"Bardzo kompetentna i mile nastawiona obsługa. Zastawiałam tam złotą biżuterię, Pani zaproponowała mi więcej niż chciałam, dodatkowo przy odbiorze dostałam rabat dla nowych klientów i nie zapłaciłam odsetek. Polecam!","Bardzo polecam ten lombard. Bogaty asortyment w atrakcyjnych cenach, zgodnych z ich stanem, obsługa bardzo miła i profesjonalna. Super!!!",,,,,"jewelry_store, finance, point_of_interest, store, establishment",,54.379448,18.607818
"Biżuteria z Kryształami Gdańsk.","58 301 78 64","Długie Pobrzeże 4, 80-888 Gdańsk, Polska",,,"Ogromny wybór dobrze wykonanej biżuterii na każdą okazję. Przyjeżdżamy z rodziną co roku do Gdańska, jest to zaufany i sprawdzony sklep. Obsługa zna się na rzeczy i zawsze z uśmiechem i miłą chęcią doradzi. Bardzo polecamy!","Wspaniali właściciele, piękne opowiadali o bursztynach. Zakupy udane.","Polecam byłam kupiłam co planowałam  i jestem zadowolona.","Przesympatyczna fachowa obsługa, wyroby wysokiej jakości w przyzwoitych cenach. Polecam wszystkim, jest w czym wybierać , na pewno coś pięknego znajdziecie.","Świetne miejsce na zakupy. Bardzo dobrzy sprzedawcy. Warto wejść znajdzie się coś dla kobiety i mężczyzny.",,"jewelry_store, store, point_of_interest, establishment",,54.3485051,18.6561502
"Pure Shine",,"Plac Dominikański 1, 80-844 Gdańsk, Polska",,https://www.facebook.com/Hamburgjewellery,,,,,,,"jewelry_store, store, point_of_interest, establishment",,54.3527569,18.6519967
"Lux - Salon Jubilerski","58 341 76 31","Klonowa 1/20, 80-264 Gdańsk, Polska",,,"Duży wybór zegarków, łańcuszków i ceramiki z Bolesławca.",,,,,,"jewelry_store, store, point_of_interest, establishment",,54.380591,18.603988
"Jubiler Eliza",,"Mariacka, 80-833 Gdańsk, Polska",,,"Piękne wyroby, niedrogie cudne pierścionki, kolczyki i naszyjnik 😊 najważniejsze 100% bursztyn!","Serdecznie polecam ten sklep. Obsługa na wysokim poziomie. Napewno rozleklamuję w wśród znajomych.","Istnieje wiele rodzajów bursztynu, ale pracownicy byli nieco obojętni.",,,,"jewelry_store, store, point_of_interest, establishment",,54.3495059,18.6565471
Swarovski,"570 434 303","al. Wyzwolenia 18-20/lok.24, 70-554 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",http://www.swarovski.com/,"Bardzo miła Pani konsultant. Po zwiedzeniu innych sklepów - wróciłam, ponieważ bardzo zorientowana na klienta, pomogła w wyborze, idealnie dopasowała towar. Polecam, życzę sklepu rozwoju i samych sukcesów. Dzięki bardzo za humor i świetny nastrój. Biżuteria bez komentarza, Swarovski i tym wszystko powiedziane 🦊","Bardzo miła obsługa, piękna biżuteria. Gorąco polecam 💎💍🛍️",,,,,"jewelry_store, store, point_of_interest, establishment",,53.4337619,14.5558731
"Tous Jewelry","608 031 612","al. Wyzwolenia 18/20, 70-554 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 09:00–21:00",https://www.tous.com/pl-pl/?utm_campaign=local_seo&utm_content=87e09bf3-e68e-479d-9546-69e0ad53469f&utm_medium=organic&utm_source=google_gmb,,,,,,,"jewelry_store, clothing_store, store, point_of_interest, establishment",,53.4335844,14.5558548
"GOLDPORT Jubiler Szczecin - pierścionki zaręczynowe, obrączki ślubne, projektowanie biżuterii","797 729 317","Ul. mjr Wł. Raginisa, wejście od ul: E, Plater 7/U4, 71-625 Szczecin, Polska","poniedziałek: 10:00–17:00, wtorek: 10:00–17:00, środa: 10:00–17:00, czwartek: 10:00–17:00, piątek: 10:00–17:00, sobota: 10:00–14:00, niedziela: Zamknięte",https://goldport.pl/,"Kupiłem pierścionek zaręczynowy w innym sklepie i okazał się źle wykonany . Pan z Goldport go poprawił a w zasadzie wykonał od nowa używając tego samego złota i diamenta . Efekt przerósł moje oczekiwania został zrobiony bardzo elegancko i masywnie a zarazem wygląda bardzo delikatnie. Polecam","Pierścionek otrzymany w prezencie, piękna praca. Jeśli szukasz idealnego pierścionka dla swojej ukochanej to tylko tutaj ♥️.","Z ogromną radością polecam! Pełen profesjonalizm, zaczynając od kontaktu z klientem, poprzez dyskusję na temat projektu, aż po wykonanie biżuteri. Pracownicy są pełni entuzjazmu i gotowi spełnić najbardziej wymagające życzenia klientów. Jeśli ktoś szuka wyjątkowego kawałka biżuterii, który zachwyci swoim pięknem i dbałością o detale, to ten zakład jubilerski jest idealnym wyborem!","Z czystym sumieniem mogę polecić! Właściele profesjonalni, prowadzący biznes z sercem, na najwyższym poziomie, bardzo pomocni. Biżuteria wykonywana na miejscu, co daje szanse zaprojektowania własnego i wyjątkowego modelu. Jakość wykonywanej bizuterii na najwyższym poziomie. W przyszłości, gdy będę robił kolejne zakupy to wrócę właśnie tutaj!  *Właściciele mówią również w języku niemieckim :)","Złożylem zamówienie na wykonanie pierścionka zaręczynowego. Pan Piotr wraz z żoną poświęcili mi wyjątkowo dużo czasu podczas wyboru projektu pierścionka jak i doboru kamienia. Projekt można dowolnie modyfikować wedle własnego gustu. Wyjaśnili mi na co zwracać uwagę podczas doboru brylantu. Dzięki temu uzyskaliśmy produkt o wiele lepszy jakościowo od pierścionków dostępnych w sieciówkach. Jestem bardzo zadowolony z efektu i wykonania",,"jewelry_store, store, point_of_interest, establishment",,53.4395077,14.5614379
"Salon TOUS Galeria Kaskada","608 032 152","aleja Niepodległości 36, 70-404 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",http://touspolska.pl/,"Fantastyczna obsługa. Panie przemiłe bardzo pomocne, wspaniale doradzą przy doborze biżuterii. Dają klientowi przestrzeń by mógł sam podjąć właściwą decyzję. Bardzo serdecznie polecam na pewno wrócę w przyszłości.","Dzisiaj tj 20.11. byłam w sklepie Tous w Galerii Kaskada. Chcialam kupic torebkę.Decyzja była trudna bo ceny torebek nie są niskie.Przemila pani sprzedawczyni  pomogła mi w podjęciu decyzji. Chciałam  pani podziękować za fachowa obsługę i cierpliwość .Imienia nie znam ale to była pani blondynka w okularach .Odpowiednia osoba w takim miejscu.Torebka jest super .Jeszcze raz serdecznie pani dziękuję bo taka obsługa to dzisiaj  raczej rzadkość.",,,,,"jewelry_store, store, point_of_interest, establishment",,53.4279795,14.5512974
"my jewellery","531 660 033","Centrum Handlowe Atrium Molo, Mieszka I 73, 71-011 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",,,,,,,,"jewelry_store, finance, store, point_of_interest, establishment",,53.411149,14.521329
GOLDSMITH,,"Mariacka 1, 71-899 Szczecin, Polska",,,"Super obsługa, profesjonalista który jest mistrzem w swoim fachu! Polecam","Polecam! Świetny profesjonalista",,,,,"jewelry_store, store, point_of_interest, establishment",,53.4277738,14.5563334
"Pracownia Zodiak","888 132 417","Szarotki 18/u1, 71-604 Szczecin, Polska","poniedziałek: 10:00–15:00, wtorek: 10:00–15:00, środa: 10:00–15:00, czwartek: 10:00–15:00, piątek: 10:00–15:00, sobota: Zamknięte, niedziela: Zamknięte",https://pracowniazodiak.pl/,"Jakiś czas temu dostałam od męża piramidkę i bransoletkę. Ostatnio udało mu się wygrać kolejną piramidkę. Jestem nimi zachwycona. Każda rzecz wykonana jest z wielką starannością i prawdziwą pasją do tworzenia. Na pewno będę wracać do pracowni, ciężko zapomnieć o cudach które się tam widziało. Gorąco polecam!!! 🤩🤩🤩","Biżuteria wykonana z największą starannością, spersonalizowana dokładnie wg wytycznych klienta. Ponadto świetny kontakt z pracownią. Serdecznie polecam 🥰","Przepiękna bransoletka. Super obsługa i dostawa. Polecam serdecznie.","Bransoletka piękna 🤩 Kontakt rewelacja 🥰 Gorąco polecam ❤️🍀","Zamówiłam bransoletkę dla siebie i jest idealna. Mąż gdy ja zobaczył stwierdził że też może nosić podobną... więc ma i jest bardzo zadowolony:) świetna obsługa, szybka realizacja, miły kontakt. Polecam serdecznie.",,"jewelry_store, point_of_interest, store, establishment",,53.4351807,14.5706218
Verona,"538 649 603","Wiosenna 32, 70-807 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: Zamknięte",https://verona.pl/,"Kupowałem pierścionek dla mojej Partnerki i biżuterię dla cioci. Obsługa pomogła mi w wyborze. Partnerka i ciocia są zadowolone z zakupionej biżuterii. Polecam.","Dobra obsługa, duży wybór biżuterii",,,,,"jewelry_store, point_of_interest, store, establishment",,53.3846707,14.6634878
Lilou,"511 972 535","Edmunda Bałuki 4a, 70-406 Szczecin, Polska","poniedziałek: 10:00–19:00, wtorek: 10:00–19:00, środa: 10:00–19:00, czwartek: 10:00–19:00, piątek: 10:00–19:00, sobota: 10:00–17:00, niedziela: Zamknięte",https://lilou.pl/pl/butiki/24?utm_source=googlemaps&utm_medium=organic&utm_campaign=wizytowki,"Chciałbym serdecznie podziękować za waszą pomoc i zaangażowanie. Wasza obsługa była niezwykle profesjonalna i uprzejma.  Dziękuję za wasze wsparcie i troskę, które okazaliście mi podczas mojej ostatniej wizyty w sklepie. Wasz personel był pomocny, odpowiedział na wszystkie moje pytania i pomógł mi dokonać odpowiedniego wyboru. Cieszę się, że mogłem liczyć na waszą wiedzę i doświadczenie.  Ponadto, chciałbym gorąco polecić Sklep Lilou innym klientom. Od momentu wejścia do sklepu czułem się mile widziany i zaopiekowany.  Jeszcze raz chciałbym podkreślić moje wdzięczność za waszą pomoc i profesjonalizm. Nie mogę się doczekać, aby ponownie odwiedzić Sklep Lilou w Szczecinie.",,,,,,"jewelry_store, point_of_interest, store, establishment",,53.4288646,14.5509148
W.KRUK,"783 782 711","aleja Niepodległości 36, 70-404 Szczecin, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 10:00–20:00",https://wkruk.pl/salon-szczecin-1,"Sklep W.Kruk w Szczecinie (Kaskada) to absolutnie wspaniałe miejsce do zakupów biżuterii. Obsługa jest niezwykle profesjonalna, a szczególnie chciałbym podziękować i pozdrowić Panią Karolinę za jej uprzejmość i pomoc. Jej wiedza na temat biżuterii jest imponująca, a jej pasja do pracy sprawia, że każda wizyta staje się niezapomniana. Dziękuję za doskonałą obsługę!",,,,,,"jewelry_store, finance, store, point_of_interest, establishment",,53.4271062,14.5511738
"Złotnik Szczecin''Ester Gold'' Obrączki ślubne-Pierścionki-Skup złota i srebra","91 433 54 19","Jagiellońska 17, 70-362 Szczecin, Polska","poniedziałek: 10:00–17:00, wtorek: 10:00–17:00, środa: 10:00–17:00, czwartek: 10:00–17:00, piątek: 10:00–17:00, sobota: 10:00–14:00, niedziela: Zamknięte",http://www.estergold.pl/,"Korekta rozmiaru oraz naprawa pierścionka z brylantem przebiegła bardzo sprawnie. Praca wykonana profesjonalnie, szybko i uczciwie, ceny również rozsądne. Zdecydowanie polecam","Oddałam pierścionek zaręczynowy do naprawy, odpadła perełka i trzpień na którym była osadzona. Naprawiony pierścionek był do odbioru tego samego dnia, dodatkowo pięknie wyczyszczony wyglądał jak nowy. Jestem w stu procentach zadowolona. Polecam 👍","Profesjonalne podejście i pomoc. Pan powiększył moja obrączkę w krótkim czasie i bez problemów. U innych """"złotników """" słyszałam, że to niemożliwe albo ryzykowne. Gorąco polecam.","Prawdziwy fachura od wszystkiego co wiąże się z wykonaniem lub naprawą biżuterii ze złota.Wiele usług zleciłem w ciagu lat i zawsze wykonane fachowo i szybko! Pan Jubiler wykonał aniołka ze złota w/g wzoru ze srebra-mistrzostwo! Polecam wszystkim",,,"jewelry_store, store, point_of_interest, establishment",,53.4317446,14.5405663
Złotnik,"91 423 12 99","Księdza Hugona Kołłątaja 25, 71-525 Szczecin, Polska","poniedziałek: 10:00–16:30, wtorek: 10:00–16:30, środa: 10:00–16:30, czwartek: 10:00–16:30, piątek: 10:00–16:30, sobota: Zamknięte, niedziela: Zamknięte",,"Ten pan jest godny zaufania i jest ekspertem w swojej dziedzinie. Nasze stare złoto zostało doskonale przetworzone w ciągu kilku dni. dziękujemy i do zobaczenia.","Złotnik to fachowiec pierwszej kategorii,  konkretny , rzetelne podejście do tematu, bez ściemniania, którego pełno u pseudofachowców, naprawiał mi oprawki, które według innych były nie do naprawienia oraz przy okazji drobną biżuterię, polecam, będę korzystać zapewne jeszcze nie raz , pozdrawiam Pana Złotnika 😊","Oprawki okularów zostały naprawione estetycznie i trzymają się bardzo solidnie. Cena za usługę była rozsądna. U innego złotnika, za taką samą cenę, okulary po naprawie wytrzymały dwa tygodnie.","Świetne miejsce pierścionek dla narzeczonej pomniejszony. Trochę długo trzeba było czekać (2 tygodnie) ale robota dobrze wykonana i dostałem rabat więc jestem zadowolony :)","Bardzo dobry fachowiec, zna się na rzeczy. Duży plus również za możliwość naprawy zegarków, nawet tych starych oraz oprawek do okularów. Polecam tego Pana tym bardziej, że niestety w Szczecinie brakuje prawdziwych rzemieślników.",,"jewelry_store, store, point_of_interest, establishment",,53.4462563,14.549461
